dataset,method,avg_accuracy_mean,forgetting_mean,runtime_hours_mean,estimated_memory_mb,leader_flag,top_cluster_flag
permuted_mnist,xder,71.1744,28.971780000000003,0.27984444444444445,0.9375,False,True
permuted_mnist,agem,36.1646,66.902,0.4671777777777778,0.7812,False,True
permuted_mnist,fine_tune,35.56046,70.48456,0.21774444444444443,0.7812,False,True
permuted_mnist,lwf,32.968599999999995,70.46866,0.15306666666666666,0.7812,False,True
split_cifar10,icarl,27.248,39.754999999999995,0.020677777777777778,7.0312,False,True
split_cifar10,xder,21.216,74.1875,0.02992777777777778,2.8125,False,True
split_cifar10,progress_compress,17.758000000000003,80.16749999999999,0.017566666666666664,256.0,False,True
split_cifar10,der,16.624000000000002,80.265,0.027394444444444443,2.8125,False,True
split_cifar10,agem,15.978,79.35,0.027827777777777774,2.3438,False,True
split_cifar10,lwf,15.931999999999999,78.2675,0.017155555555555556,2.3438,False,True
split_cifar10,fine_tune,15.862,78.6075,0.01575,2.3438,False,True
split_cifar100,er_ewc,4.4799999999999995,58.27578,0.1077111111111111,16.0,False,True
split_cifar100,icarl,4.3740000000000006,11.22946,0.02758333333333333,7.0312,False,True
split_cifar100,progress_compress,3.5519999999999996,52.751580000000004,0.02213333333333333,256.0,False,True
split_cifar100,agem_distill,2.722,46.53474,0.03897777777777778,2.8125,False,True
split_cifar100,der,2.6799999999999997,44.74948,0.03166666666666667,2.8125,False,True
split_cifar100,lwf,2.6079999999999997,42.090520000000005,0.02197777777777778,2.3438,False,True
split_mini_imagenet,er_ewc,3.3366599999999997,44.61578,0.15164444444444444,16.1499,False,True
split_mini_imagenet,icarl,3.15666,7.80698,0.11182777777777779,48.4497,False,True
split_mini_imagenet,xder,2.65668,39.80176,0.14319444444444446,19.3799,False,True
split_mini_imagenet,der,1.9600000000000002,34.34388,0.10212222222222223,19.3799,False,True
split_mini_imagenet,fine_tune,1.94,29.64034,0.10582222222222223,16.1499,False,True
