case_id,dataset,memory_budget_mb,compute_budget,acceptable_forgetting,task_similarity,joint_retraining_allowed,rank,recommended_method,method,score,avg_accuracy_mean,forgetting_mean,runtime_hours_mean,estimated_memory_mb,leader_flag,top_cluster_flag,rationale,summary_rationale
1,permuted_mnist,32.0,low,40.0,high,False,1,xder,xder,103.7196,71.1744,28.9718,0.2798,0.9375,False,True,"fits the stated memory budget | fits the stated compute budget | meets the acceptable forgetting target | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned | caveat: Run log contains restarts; final metrics were read from the last completed metrics block.",Recommended `xder` for `permuted_mnist` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
1,permuted_mnist,32.0,low,40.0,high,False,2,xder,der,85.3935,70.9626,29.2447,0.4504,0.9375,False,True,"fits the stated memory budget | needs more compute than requested | meets the acceptable forgetting target | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned | caveat: Run log contains restarts; final metrics were read from the last completed metrics block.",Recommended `xder` for `permuted_mnist` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
1,permuted_mnist,32.0,low,40.0,high,False,3,xder,si_der,84.4742,70.8658,29.2642,0.4828,16.0,False,True,"fits the stated memory budget | needs more compute than requested | meets the acceptable forgetting target | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned | caveat: Run log contains restarts; final metrics were read from the last completed metrics block.",Recommended `xder` for `permuted_mnist` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
2,split_cifar10,128.0,low,35.0,high,False,1,icarl,icarl,101.2829,27.248,39.755,0.0207,7.0312,False,True,"fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_cifar10` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
2,split_cifar10,128.0,low,35.0,high,False,2,icarl,er_ewc,43.5776,23.522,73.1625,0.0347,16.0,False,True,"fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_cifar10` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
2,split_cifar10,128.0,low,35.0,high,False,3,icarl,xder,31.2202,21.216,74.1875,0.0299,2.8125,False,True,"fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_cifar10` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
3,split_cifar100,256.0,medium,25.0,medium,False,1,icarl,icarl,109.6008,4.374,11.2295,0.0276,7.0312,False,True,"fits the stated memory budget | fits the stated compute budget | meets the acceptable forgetting target | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_cifar100` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
3,split_cifar100,256.0,medium,25.0,medium,False,2,icarl,progress_compress,38.7301,3.552,52.7516,0.0221,256.0,False,True,fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | leans on regularization instead of storing much past data,Recommended `icarl` for `split_cifar100` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
3,split_cifar100,256.0,medium,25.0,medium,False,3,icarl,si_der,34.4584,2.862,44.9811,0.0448,16.0,False,True,"fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_cifar100` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
4,split_mini_imagenet,512.0,medium,20.0,low,False,1,icarl,icarl,106.201,3.1567,7.807,0.1118,48.4497,False,True,"fits the stated memory budget | fits the stated compute budget | meets the acceptable forgetting target | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_mini_imagenet` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
4,split_mini_imagenet,512.0,medium,20.0,low,False,2,icarl,er_ewc,54.6342,3.3367,44.6158,0.1516,16.1499,False,True,"fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_mini_imagenet` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
4,split_mini_imagenet,512.0,medium,20.0,low,False,3,icarl,xder,39.1724,2.6567,39.8018,0.1432,19.3799,False,True,"fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `icarl` for `split_mini_imagenet` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
5,split_mini_imagenet,4096.0,high,15.0,low,True,1,joint_training,joint_training,114.0,45.1883,3.5473,0.2234,2048.0,True,True,fits the stated memory budget | fits the stated compute budget | meets the acceptable forgetting target | is the current dataset leader in the primary v2 matrix | acts as an upper-bound option when joint retraining is allowed | caveat: Run log contains restarts; final metrics were read from the last completed metrics block.,Recommended `joint_training` for `split_mini_imagenet` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
5,split_mini_imagenet,4096.0,high,15.0,low,True,2,joint_training,icarl,56.6697,3.1567,7.807,0.1118,48.4497,False,True,"fits the stated memory budget | fits the stated compute budget | meets the acceptable forgetting target | belongs to the dataset's top non-inferior cluster | uses replay, which is typically helpful when tasks are less aligned",Recommended `joint_training` for `split_mini_imagenet` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
5,split_mini_imagenet,4096.0,high,15.0,low,True,3,joint_training,lwf,14.3751,1.765,28.4667,0.1806,16.1499,False,True,fits the stated memory budget | fits the stated compute budget | forgets more than requested | belongs to the dataset's top non-inferior cluster | uses distillation to retain prior task behavior | caveat: Run log contains restarts; final metrics were read from the last completed metrics block.,Recommended `joint_training` for `split_mini_imagenet` because it offers the strongest constraint-adjusted empirical trade-off in the v2 primary matrix.
