dataset,method,run_tag,method_variant,seed,avg_accuracy,forgetting,backward_transfer,forward_transfer
permuted_mnist,agem_distill,nodistill,agem_distill_nodistill,123,41.99,12.5911,-12.5911,5.9411
permuted_mnist,agem_distill,nodistill,agem_distill_nodistill,42,43.304,11.85,-11.7578,7.0822
permuted_mnist,agem_distill,nodistill,agem_distill_nodistill,456,42.384,12.0644,-11.8444,5.0644
permuted_mnist,der,nodistill,der_nodistill,123,27.289,75.59,-75.59,2.8356
permuted_mnist,der,nodistill,der_nodistill,42,26.378,76.7978,-76.7978,1.9211
permuted_mnist,der,nodistill,der_nodistill,456,28.467,74.5167,-74.5167,3.06
permuted_mnist,er_ewc,noewc,er_ewc_noewc,123,48.766,51.1856,-51.1856,3.3622
permuted_mnist,er_ewc,noewc,er_ewc_noewc,42,46.291,52.5011,-52.5011,2.3822
permuted_mnist,er_ewc,noewc,er_ewc_noewc,456,49.565,50.7856,-50.7856,3.3978
permuted_mnist,icarl,nonmc,icarl_nonmc,123,43.867,55.9978,-55.9978,1.9356
permuted_mnist,icarl,nonmc,icarl_nonmc,42,44.643,55.3133,-55.3133,1.1033
permuted_mnist,icarl,nonmc,icarl_nonmc,456,49.088,50.0744,-50.0744,2.8267
permuted_mnist,si_der,nosi,si_der_nosi,123,63.308,36.4433,-36.4433,0.9978
permuted_mnist,si_der,nosi,si_der_nosi,42,61.56,38.3378,-38.3378,3.1256
permuted_mnist,si_der,nosi,si_der_nosi,456,60.806,39.24,-39.24,1.9178
permuted_mnist,xder,norevision,xder_norevision,123,62.11,37.6611,-37.6611,0.6767
permuted_mnist,xder,norevision,xder_norevision,42,60.914,39.1144,-39.1144,1.8711
permuted_mnist,xder,norevision,xder_norevision,456,61.071,38.98,-38.98,1.3467
split_cifar10,agem_distill,nodistill,agem_distill_nodistill,123,27.84,29.175,-29.175,-14.8417
split_cifar10,agem_distill,nodistill,agem_distill_nodistill,42,25.93,33.75,-33.75,-16.0417
split_cifar10,agem_distill,nodistill,agem_distill_nodistill,456,25.14,33.1625,-33.1625,-15.7542
split_cifar10,der,nodistill,der_nodistill,123,16.55,79.8,-79.8,-15.2917
split_cifar10,der,nodistill,der_nodistill,42,16.13,80.2,-80.2,-15.3167
split_cifar10,der,nodistill,der_nodistill,456,16.02,80.175,-80.175,-15.2042
split_cifar10,er_ewc,noewc,er_ewc_noewc,123,29.11,68.0125,-68.0125,-15.1792
split_cifar10,er_ewc,noewc,er_ewc_noewc,42,24.78,72.3625,-72.3625,-15.8792
split_cifar10,er_ewc,noewc,er_ewc_noewc,456,23.45,77.8,-77.8,-15.9792
split_cifar10,icarl,nonmc,icarl_nonmc,123,17.59,80.3625,-80.3625,-15.5917
split_cifar10,icarl,nonmc,icarl_nonmc,42,17.24,81.5625,-81.5625,-15.4667
split_cifar10,icarl,nonmc,icarl_nonmc,456,17.56,80.9625,-80.9625,-15.0417
split_cifar10,si_der,nosi,si_der_nosi,123,17.54,80.925,-80.925,-13.8917
split_cifar10,si_der,nosi,si_der_nosi,42,16.2,77.7625,-77.7625,-16.0417
split_cifar10,si_der,nosi,si_der_nosi,456,15.91,80.325,-80.325,-15.5667
split_cifar10,xder,norevision,xder_norevision,123,16.59,79.725,-79.725,-13.8917
split_cifar10,xder,norevision,xder_norevision,42,16.72,79.95,-79.95,-16.0417
split_cifar10,xder,norevision,xder_norevision,456,15.28,80.075,-80.075,-15.5667
